"name","address"
"八里垃圾焚化廠","新北市八里區中山路三段409號"
"樹林垃圾焚化","新北市樹林區中山路三段212號"
"新店垃圾焚化廠","新北市新店區薏仁坑路自強巷1號"
"八里垃圾掩埋場 ","新北市板橋區民族路57號"
