address,lon,lat
新北市板橋區大觀路二段59巷31號,121.447686,25.002304
新北市土城區學府路一段115巷13號,121.4560996,24.987131
新北市永和區民權路1巷24.26號,121.521564,24.998119
新北市樹林區三福街52號,121.406436,25.016363
新北市永和區中和路501巷17號,121.510315,25.002992
新北市板橋區實踐路93巷51號,121.466392,25.005017
新北市新店區安民街269巷14號1樓,121.516561,24.973207
新北市土城區青仁路31號,121.537684,24.970281
新北市板橋區大觀路一段30號,121.449349,25.00861
新北市新店區永業路81巷25號,121.530952,24.948831
新北市土城區延吉街253巷18弄3號,121.467515,24.9839982
新北市板橋區金門街289號,121.430882,24.987323
新北市新店區民權路11巷3號,121.542507,24.982592
新北市土城區學士路12巷12號,121.4533462,24.9834003
新北市新店區德正街27巷29弄8號,121.54586,24.971745
新北市板橋區四川路二段245巷60號,121.452812,24.991736
新北市土城區延和路19號,121.4641286,24.9881804
新北市新店區三民路19號,121.539411,24.971703
新北市板橋區廣和街31號,121.462422,24.994453
新北市土城區裕生路65號,121.447559,24.985601
新北市土城區延和路105巷1弄4號,121.4673705,24.9904654
新北市土城區延和路23號,121.464774,24.988807
新北市土城區立德路135巷2號,121.464688,24.986642
新北市樹林區忠孝街30號,121.42344,24.98193
新北市土城區延吉街253巷14號,121.4676104,24.9842863
新北市樹林區復興路395號,121.415669,24.985766
新北市土城區金城路三段152號1樓,121.4706443,24.9891189
新北市鶯歌區育英街2號,121.346579,24.954965
新北市三峽區中華路42號,121.37222,24.931221
新北市土城區學成路165號,121.4482362,24.989099
新北市汐止區樟樹一路141巷2號,121.641687,25.066528
新北市金山區金美里忠孝一路111號,121.635474,25.221039
新北市土城區延和路185號,121.4691101,24.9904132
新北市新店區安和路三段100號,121.518178,24.984615
新北市淡水區學府路99號,121.449292,25.171312
新北市永和區中正路232號,121.5162473,24.9979143
新北市板橋區大同街50巷18號,121.4787602,25.0268613
新北市板橋區莊敬路34-2號 46號,121.4730872,25.0274018
新北市淡水區新興街123號,121.440027,25.179684
新北市三峽區大德路493號,121.3737628,24.9484786
新北市三重區中正北路113號,121.484505,25.066306
新北市三重區重新路二段19號,121.4982037,25.0624752
新北市三重區集賢路89號,121.493449,25.086713
新北市三芝區公正街34號,121.5001822,25.2577241
新北市蘆洲區長安街311號,121.457458,25.085672
新北市蘆洲區民族路488號,121.470993,25.091454
新北市新莊區中正路161號,121.455259,25.0364409
新北市新莊區中平里7鄰中和街193號,121.447398,25.051432
新北市三重區二段三和路37號3樓,121.5009202,25.0674478
新北市新莊區裕民街123號,121.418001,25.021856
新北市蘆洲區中正路373號1樓,121.4645438,25.0907181
新北市新莊區公園一路91號,121.443786,25.03784
新北市新莊區中信街168號,121.44799,25.056275
新北市新莊區昌平街200號,121.4555271,25.0563458
新北市板橋區南雅南路一段40號2樓,121.4557701,25.0060842
新北市樹林區大成路373號,121.3813379,24.9499709
新北市板橋區光明街120號,121.4633496,25.0029825
新北市土城區延和路180號,121.4690092,24.9901738
新北市永和區中和路483號2 樓,121.5103903,25.0020396
新北市土城區青仁路1號,121.4568251,25.016951
新北市林口區文化一路一段120號,121.3743846,25.071563
新北市土城區中央路一段223號,121.445782,24.9864816
新北市三峽區大德路70號,121.3772985,24.9432429
新北市土城區中央路三段279號,121.427092,24.9635329
新北市永和區中和路377號,121.50838,24.9999
新北市土城區金城路二段260號2樓,121.457449,24.983378
新北市新莊區昌隆街7號,121.4539437,25.0509865
新北市土城區中華路一段46號,121.4460862,24.9891075
新北市永和區永和路一段112號,121.513671,25.007416
新北市五股區民義路一段120號2樓,121.4348709,25.0858765
新北市土城區學府路一段155巷2號2樓,121.45388,24.985448
