Name,District,Address,Lon,Lat
全聯福利中心三峽安溪門市,三峽區,新北市三峽區中華路95號一樓 ,121.371702,24.929286
全聯福利中心三峽光明門市,三峽區,新北市三峽區光明路59.61.63號 ,121.371723,24.932774
全聯福利中心三峽和平門市,三峽區,新北市三峽區和平街65號B1 ,121.370114,24.936611
全聯福利中心三峽學成門市,三峽區,新北市三峽區學成路97.99號 ,121.373395,24.941482
全聯福利中心三重力行門市,三重區,新北市三重區力行路1段54號 ,121.484872,25.068892
全聯福利中心三重三和門市,三重區,新北市三重區三和路2段139號 ,121.498395,25.069439
全聯福利中心三重三和二門市,三重區,新北市三重區三和路4段103號之2 ,121.48713236,25.07662943
全聯福利中心三重中正門市,三重區,新北市三重區中正北路592號 ,121.469886,25.07217
全聯福利中心三重仁愛門市,三重區,新北市三重區仁愛街278號 ,121.492509,25.07891
全聯福利中心三重永福門市,三重區,新北市三重區永福街15號地下1樓 ,121.482013,25.078341
全聯福利中心三重門市,三重區,新北市三重區重安街70號光明市場2樓 ,121.49135902,25.0571224
全聯福利中心三重天台門市,三重區,新北市三重區重新路2段78號之21 ,121.497259,25.061897
全聯福利中心三重集美門市,三重區,新北市三重區集美街61號之1 ,121.488376,25.05428
全聯福利中心三重介壽門市,三重區,新北市三重區龍門路6-1號 ,121.494696,25.071352
全聯福利中心中和大勇門市,中和區,新北市中和區大勇街78號 ,121.518031,24.994915
全聯福利中心中和中山門市,中和區,新北市中和區中山路3段35-2號 ,121.478773,25.005733
全聯福利中心中安門市,中和區,新北市中和區中安街196號B1 ,121.511457,24.999148
全聯福利中心中和民樂門市,中和區,新北市中和區民樂路3號 ,121.482184,25.001336
全聯福利中心中和光華門市,中和區,新北市中和區光華街31巷2號1樓 ,121.505103,25.003999
全聯福利中心中和安平門市,中和區,新北市中和區安平路87、87-1、87-2號1樓、2樓 ,121.510509,24.996374
全聯福利中心中和秀朗門市,中和區,新北市中和區秀朗路3段175巷2號 ,121.524602,24.991224
全聯福利中心南華門市,中和區,新北市中和區南華路27號Ｂ1 ,121.502921,24.996008
全聯福利中心中和景平門市,中和區,新北市中和區景平路541號B1、543號1樓、B1 ,121.49862,24.999349
全聯福利中心景安門市,中和區,新北市中和區景安路34號地下一樓 ,121.507034,24.998354
全聯福利中心中和門市,中和區,新北市中和區景新街516號地下2樓 ,121.51397,24.986764
全聯福利中心五股工商門市,五股區,新北市五股區工商路112號 ,121.437204,25.085583
全聯福利中心五股門市,五股區,新北市五股區成泰路1段235號之13 ,121.436064,25.079465
全聯福利中心土城中央二門市,土城區,新北市土城區中央路2段191號B1-3樓 ,121.442116,24.975542
全聯福利中心土城頂埔門市,土城區,新北市土城區中州路28巷30號2樓 ,121.415167,24.958162
全聯福利中心金城門市,土城區,新北市土城區金城路3段12號B1、B1-1/14號B1 ,121.464924,24.986057
全聯福利中心土城裕民門市,土城區,新北市土城區裕民路116號B1 ,121.45101,24.986536
全聯福利中心土城廣明門市,土城區,新北市土城區廣明街63巷31號1樓 ,121.453907,24.993111
全聯福利中心新店三民門市,新店區,新北市新店區三民路42-1號 ,121.536056,24.971705
全聯福利中心中央門市,新店區,新北市新店區中央五街60號地下室 ,121.527589,24.975462
全聯福利中心新店北宜門市,新店區,新北市新店區北宜路2段82-7號1樓 ,121.554303,24.953407
全聯福利中心新店碧潭門市,新店區,新北市新店區北新路1段181.183號 ,121.540057,24.964446
全聯福利中心北新門市,新店區,新北市新店區北新路二段252號地下室 ,121.542901,24.978049
全聯福利中心大豐門市,新店區,新北市新店區民族路190號地下室 ,121.536325,24.97573
全聯福利中心新店安民門市,新店區,新北市新店區安民街79號 ,121.516552,24.96739
全聯福利中心新店安康門市,新店區,新北市新店區安康路二段133號 ,121.512278,24.960808
