店名,地址
"楠梓益群店
24h",811 高雄市楠梓區益群路50號
平鎮店,324 桃園市平鎮區坤慶路1號
"桃園南平店
24h",330 桃園市桃園區南平路168號
"桂林店
24h",108 台北市萬華區桂林路1號
重慶店,103 台北市大同區重慶北路二段171號
大直店,104 台北市中山區樂群三路218號
北投店,112 台北市北投區中和街366號B1
淡新店,251 新北市淡水區中山北路二段383號
天母店,111 台北市士林區德行西路47號
竹北六家二店,302 新竹縣竹北市六家五路二段162號
竹北六家店,302 新竹縣竹北市六家五路一段133號
竹北成功店,302 新竹縣竹北市成功八路158號
竹北勝利二店,302 新竹縣竹北市勝利二路26號
竹北華興店,302 新竹縣竹北市華興街135號1F
竹北福興東店,302 新竹縣竹北市福興東路二段97號
竹北縣政二店,302 新竹縣竹北市縣政二路南段56號
竹東民德店,310 新竹縣竹東鎮民德路64號1樓
"竹南民族二店
24h",350 苗栗縣竹南鎮民族街146號
"西屯青海店
24h",407 台中市西屯區青海路一段126，128號
"西屯漢口店
24h",407 台中市西屯區漢口路二段182-188號
板橋大觀店,220 新北市板橋區大觀路三段236號1樓之14、1樓之15
"板橋四維店
24h",220 新北市板橋區四維路247、249、251、253號
"板橋忠孝店
24h",220 新北市板橋區忠孝路237號
板橋金門二店,220 新北市板橋區金門街153、155、159號
板橋金門店,220 新北市板橋區金門街357號
"林口仁愛店
24h",244 新北市林口區仁愛路二段89號
林口公園店,244 新北市林口區公園路59號
林口文化一店,244 新北市林口區文化三路一段319、321、323、325號
"林口文化三店
24h",244 新北市林口區文化三路一段543號
南屯黎明店,408 台中市南屯區黎明路二段423號
南港成福店,115 台北市南港區成福路183號
南港東明店,115 台北市南港區東明街99號1樓
後龍中山店,356 苗栗縣後龍鎮中山路116-120號
"頂好_苗栗中正店
24h",360 苗栗縣苗栗市中正路482號
"員林博愛店
24h",510 彰化縣員林市博愛路185號
頂好_桃園大業店,330 桃園市桃園區大業路一段132號
桃園大興西店,330 桃園市桃園區大興西路二段63號、65號
桃園大豐店,330 桃園市桃園區大豐路89號
"頂好_桃園中正二店
24h",330 桃園市桃園區中正路708-7、708-8號
桃園文化七店,333 桃園市龜山區文化七路173號
桃園文德二店,333 桃園市龜山區樂善村文德二路123號
"桃園南華店
24h",330 桃園市桃園區南華街77號1樓
桃園國際店,330 桃園市桃園區國際路一段1169號
桃園陸光店,333 桃園市龜山區陸光路81號
"桃園復興一店
24h",333 桃園市龜山區復興一路222號
"桃園復興店
24h",330 桃園市桃園區復興路96號
桃園萬壽二店,333 桃園市龜山區萬壽路二段663-667號
"桃園萬壽店
24h",333 桃園市龜山區萬壽路一段293-295號
桃園壽昌店,330 桃園市桃園區壽昌街20巷17號
"桃園寶山店
24h",330 桃園市桃園區寶山街276、278號
"泰山明志店
24h",243 新北市泰山區明志路二段95-97號
"高雄大豐二店
24h",807 高雄市三民區大豐二路298號
"高雄南屏店
24h",804 高雄市鼓山區南屏路551號
"高雄美術東店
24h",804 高雄市鼓山區美術東二路175號
"基隆安樂店
24h",204 基隆市安樂區安樂路二段164號B1
"頂好_基隆孝二店
24h",200 基隆市仁愛區二路86號B1
基隆深溪店,201 基隆市信義區深溪路63號、65號
頂好_基隆新豐店,202 基隆市中正區新豐街460號底樓
頂好_基隆暖暖店,"205 基隆市暖暖區暖暖街168,170號"
基隆樂利二店,204 基隆市安樂區樂利二街62巷225號
"淡水中山北店
24h",251 新北市淡水區中山北路一段156號
淡水民權店,251 新北市淡水區民權路177巷12、16、18、20號
頂好_淡水自強店,251 新北市淡水區自強路106號B1
"淡水沙崙店
24h",251 新北市淡水區沙崙路168號
深坑北深店,222 新北市深坑區深坑區北深路三段151號
頂好_麻豆博愛店,721 台南市麻豆區麻豆區博愛路3-1號
"新竹北大店
24h",300 新竹市北區北大路338號1樓
"新竹光復店
24h",300 新竹市東區光復路一段329-1號
頂好_新竹光華一店,300 新竹市北區光華一街32號
新竹明湖店,300 新竹市東區明湖路566號
"新竹金山店
24h",300 新竹市東區金山街30號
新竹長春店,300 新竹市東區長春街56號
新竹建中店,300 新竹市東區建中路42號、46號
"新竹食品店
24h",300 新竹市東區食品路262-266號
新竹振興店,300 新竹市東區振興路62號及68號
新店北新店,231 新北市新店區北新路三段51號B1
"新店民族店
24h",231 新北市新店區民族路71號B1
新店如意店,231 新北市新店區如意街95、97號
"新店安康二店
24h",231 新北市新店區安康路二段136巷59號
"新店安康店
24h",231 新北市新店區安康路二段196號B1
新店安祥店,231 新北市新店區安祥路85-89號
新店新坡一店,231 新北市新店區新坡一街75號B1
新店溪園店,231 新北市新店區溪園路399號
新莊中平店,248 新北市新莊區中平路377巷18、20號
"新莊中信店
24h",248 新北市新莊區中信街72號
"新莊公園一店
24h",248 新北市新莊區公園一路110號
"新莊公園店
24h",248 新北市新莊區公園路226號
"新莊化成店
24h",248 新北市新莊區化成路193號
"新莊民安店
24h",248 新北市新莊區民安路157號之1
"新莊昌隆店
24h",248 新北市新莊區昌隆街69、75、83號
新莊後港一店,248 新北市新莊區後港一路122-126號
新莊富國店,248 新北市新莊區富國路2號B1
"新莊龍安店
24h",248 新北市新莊區龍安路75號
"新豐建興店
24h",304 新竹縣新豐鄉建興路一段116-2號
"楊梅中興店
24h",326 桃園市楊梅區中興路67號1樓
頂好_瑞芳明燈店,224 新北市瑞芳區明燈路三段59-1號
"嘉義仁愛店
24h",600 嘉義市西區仁愛路211、213號
"嘉義新榮店
24h",600 嘉義市西區新榮路152號1樓
嘉義德明店,600 嘉義市西區德明路128-132號
樹林太順店,238 新北市樹林區太順路64號、66號、68號
"樹林復興店
24h",238 新北市樹林區復興路198號
"樹林學成店
24h",238 新北市樹林區學成路536號
"頭份中華店
24h",351 苗栗縣頭份市中華路1155號
龍井藝術店,434 台中市龍井區藝術街22號
"頂好_羅東站前店
24h",265 宜蘭縣羅東鎮站前路18號
關西中興店,306 新竹縣關西鎮中興路19號
蘆竹六福店,338 桃園市蘆竹區六福路189號
蘆竹吉林店,338 桃園市蘆竹區吉林路169、171號
"蘆竹奉化店
24h",338 桃園市蘆竹區奉化路248號
蘆竹福祿一店,338 桃園市蘆竹區福祿一街189-193號
"蘆洲三民店
24h",247 新北市蘆洲區三民路54號
蘆洲中興店,247 新北市蘆洲區中興街34、36號
"蘆洲長安二店
24h",247 新北市蘆洲區長安街387號1樓
蘆洲長榮店,247 新北市蘆洲區長榮路386號
台北敦化北店,105 台北市松山區敦化北路199巷5號
"南港舊莊店
24h",115 台北市南港區舊莊街一段196號
七堵崇信店,206 基隆市七堵區崇信街16號
"三重中正北店
24h",241 新北市三重區中正北路67號、69號
"三重五華店
24h",241 新北市三重區五華街110巷1-4號
"三重仁愛二店
24h",241 新北市三重區仁愛街81號
"三重仁愛店
24h",241 新北市三重區仁愛街285號及293號
三重永福店,241 新北市三重區永福街245、247、249號
"三重重陽店
24h",241 新北市三重區重陽路一段41號
"三重溪尾店
24h",241 新北市三重區溪尾街125號1樓
三峽中山店,237 新北市三峽區中山路171號
"三峽光明店
24h",237 新北市三峽區光明路71號
"土城立德店
24h",236 新北市土城區立德路105號
土城金城店,236 新北市土城區金城路三段202-6號
"土城學府店
24h","236 新北市土城區學府路一段157,161號"
"士林社中店
24h",111 台北市士林區社中街222號1樓
士林雨聲店,111 台北市士林區雨聲街52號、52-1號、52巷1號
"士林格致店
24h",111 台北市士林區格致路7號
"士林通河店
24h",111 台北市士林區通河街153號、155號
"士林華齡店
24h",111 台北市士林區華齡街175號
"士林德行東店
24h",111 台北市士林區德行東路230號
"大安和平東店
24h",106 台北市大安區和平東路一段145號
大安敦化南店,106 台北市大安區敦化南路二段48號
"大雅民生二店
24h",428 台中市大雅區上雅村民生路一段37號
"大溪介壽店
24h",335 桃園市大溪區介壽路894號、896號
"頂好_中和中山店
24h",235 新北市中和區中山路三段1-3號
"中和民治店
24h",235 新北市中和區民治街120號
"中和復興店
24h",235 新北市中和區復興路268號
中和圓通店,235 新北市中和區圓通路274號
中和壽德店,235 新北市中和區壽德街20號1樓
"頂好_中和興南店
24h",235 新北市中和區興南路一段20號B1
中壢永福店,320 桃園市中壢區永福路982、986號
中壢環北店,320 桃園市中壢區環北路392號
五股成泰二店,248 新北市五股區成泰路一段6號
"五股成泰店
24h",248 新北市五股區成泰路一段235號之4
五股西雲店,248 新北市五股區西雲路169-1號、171號、171-1號
五股明德店,248 新北市五股區明德路12巷5號
內湖民權東店,114 台北市內湖區民權東路六段296巷42-3號地下樓
"內湖成功二店
24h",114 台北市內湖區成功路二段320巷19號
內湖康樂店,114 台北市內湖區康樂街150號
